Pak Seng,ປາກແຊງ,37ceafff-1d07-4ac2-9c76-1f2a3fdf8c76,1aaff77f-a5d9-46ff-896c-22a943c69aa5
Phonxay,ໂພນໄຊ,37ceafff-1d07-4ac2-9c76-1f2a3fdf8c76,c4ad992b-1ae5-4248-845f-a8052bb196ad
Chomphet,ຈອມເພັດ,37ceafff-1d07-4ac2-9c76-1f2a3fdf8c76,b77e2662-9f6f-4918-9389-512e00b1af2d
Viengkham,ວຽງຄຳ,37ceafff-1d07-4ac2-9c76-1f2a3fdf8c76,9010c4ee-3803-43ad-8d41-66b5c973d35f
Phoukhoune,ພູຄູນ,37ceafff-1d07-4ac2-9c76-1f2a3fdf8c76,a77c36f0-f466-4171-a00f-c136c73fb597
Phonthong,ໂພນທອງ,37ceafff-1d07-4ac2-9c76-1f2a3fdf8c76,a370339d-daef-446a-8591-21991f086301
Xam Neua,ຊຳເໜືອ,0c2c0dcf-5abb-4d98-8b16-4b849563c509,4900d5f8-0c86-4541-b23f-9e9e711295c2
Xiengkho,ຊຽງຄໍ້,0c2c0dcf-5abb-4d98-8b16-4b849563c509,d80ecbdf-1683-4718-a599-278413974271
Hiam,ວຽງທອງ,0c2c0dcf-5abb-4d98-8b16-4b849563c509,275b7aa2-8d0a-49ad-b9ef-c79202314bbd
Viengxay,ວຽງໄຊ,0c2c0dcf-5abb-4d98-8b16-4b849563c509,30c0fbd1-6933-443f-8024-3e34969afeba
Houameuang,ຫົວເມືອງ,0c2c0dcf-5abb-4d98-8b16-4b849563c509,2edf43e4-fb2d-48c3-b6fd-2af93c430402
Samtay,ຊຳໃຕ້,0c2c0dcf-5abb-4d98-8b16-4b849563c509,697442df-f6dd-4480-b5f2-d18762772504
Sop Bao,ສົບເບົາ,0c2c0dcf-5abb-4d98-8b16-4b849563c509,8e46ad33-8885-403e-8b3c-3162beb28db7
Et,ແອດ,0c2c0dcf-5abb-4d98-8b16-4b849563c509,8b180d84-8ad6-43cc-94f1-237431ca366f
Kone,ກອັນ,0c2c0dcf-5abb-4d98-8b16-4b849563c509,4e58c11d-401c-440e-bb65-6ae189b23afe
Xon,ຊ່ອນ,0c2c0dcf-5abb-4d98-8b16-4b849563c509,de5dae9a-184a-4beb-8788-8b7d317bb16e
Sainyabuli,ໄຊຍະບູລີ,137e84fc-5ac3-44aa-b6f0-4fd029e2c55f,c6770ea0-6509-45c2-adc9-9fb20505f09a
Khop,ຄອບ,137e84fc-5ac3-44aa-b6f0-4fd029e2c55f,08e3b7f4-ab96-47d7-8098-b4e3cd042199
Hongsa,ຫົງສາ,137e84fc-5ac3-44aa-b6f0-4fd029e2c55f,279f9a0e-bfab-44de-b2bc-3fe6e0ef042d
Ngeun,ເງິນ,137e84fc-5ac3-44aa-b6f0-4fd029e2c55f,ce5e7fb1-c363-47e2-962b-365f099d8152
Xienghone,ຊຽງຮ່ອນ,137e84fc-5ac3-44aa-b6f0-4fd029e2c55f,55c9cc10-30c9-4206-af64-812178a637c8
Phiang,ພຽງ,137e84fc-5ac3-44aa-b6f0-4fd029e2c55f,20dd37b7-119a-497f-97b1-dd3ef17c7552
Parklai,ປາກລາຍ,137e84fc-5ac3-44aa-b6f0-4fd029e2c55f,a3079917-f113-4616-acfc-fbda2005633e
Kenethao,ແກ່ນທ້າວ,137e84fc-5ac3-44aa-b6f0-4fd029e2c55f,d3f1a2cd-8334-4bda-9431-48d523a76c51
Botene,ບໍ່ແຕນ,137e84fc-5ac3-44aa-b6f0-4fd029e2c55f,4424a3da-d60b-4bfd-aaad-754eec3f27b6
